Tweet_Text,Actual_Urgency,Predicted_Urgency
30 hours after since the 75mag shake and the timaru harbour is still experiencing tidal movement from the tsunami eqnz,Medium,Low
please help us by donating to our disaster relief fund to help our efforts for hurricanemaria amp other disasters,High,Low
kudos coop crews responding to harvey conditions in some areas too dangerous to assess damage pic,Low,Medium
rt photos and videos show the flooding and destruction in puerto rico following hurricane maria,Low,Medium
how about the federal workers affected by harvey many worked through the storm amp continue with recovery displaced amp no raise sad,Low,High
rt deadly 600 mm 236 in of rain within 11 hours floods taiwan meiyu extremerainfall storm t,Medium,Low
every day we dont end the oil industry we justify all the death destruction and financial ruin of these weather events how many must lose their homes how many must die,Low,High
rt mexico desperately needs a better earthquake alert system,Low,Medium
florida is ready to assist families displaced by hurricane maria,Low,High
size of storm is important not just bc of wind field but it increases storm surge potential more water displaced,Low,Medium
all sumter school district schools and offices will be closed on mon sept 11 due to the threat of inclement weather from hurricane irma,Medium,Low
is providing urgent health assistance after cycloneidai displaced thousands of people in mozambique malawi amp zimbabwe amp put them at increased risk of malaria typhoid amp cholera we are sending staff medicines amp strengthening disease detection,Low,High
9 am updatehurricane harvey storm will continue to weaken but flooding rain will continue,Medium,Low
have 5 minutes call amp ask him to help harvey victiims by delaying implementation of the blue tarp bill,High,Low
cycloneidai washed away 500000 hectares of crops preharvest season this crop loss puts food security nutrition amp farmers livelihoods at risk in the coming months sdg2 foodislife,Low,Medium
rt how a syrian refugee lost her home in canadas wildfire ymm,Medium,Low
rt hurricane irma destroyed upwards of 90 of barbuda official tells local media,Low,Medium
comprehensive reentry booklet for ymm residents no detail overlooked,Low,High
tropical storm harvey 30000 people will need shelter after flooding in texas live harvey houston texasflood,High,Low
rt many children died in this collapse but some survived to be rescued mexico earthquake,High,Low
google greece rn im from greece and its a national mourning day todaylast noght 60 people died and 120 injured due to a huge firei hope you see this and pray for us and tell other people to pray you have a huge impact prayforgreece,Low,High
rt department of foreign affairs updates travel advice for irish people in greece affected by wildfires,Medium,Low
do not turn off your natural gas service at the meter doing so could allow water to enter the natural gas lines harvey houwx staysafe,Medium,Low
left home to go to nextdoor neighbor who has 2story water is coming into peoples homes big bend ave port arthur harvey,Low,Medium
wow all these people pissed at nbc for lack of compassion trump met with no victims saw any damage or flooding boasted of crowd size,Low,Medium
here is an update on haiti at least 5 dead reports of heavy damage trickling in still raining on the s shore,High,Medium
shortly after the 75 magnitude quake this morning the 111 emergency operator service was down for about half an hour nationwide eqnz,Low,Medium
as the days go by the needs as a result of cyclone idai continue to emerge a call was made to help out by some young people from highfield in harare have decided to act you can also act and make a difference cycloneidai,Low,High
harvey flooding in texas causes blasts at chemical plant transforms a city into an island harvey2017,Low,Medium
please be prepared and think of your animals too how to keep them safehave pet carriers food and water cat harnesses etc,Medium,Low
you are honest potus did not see or witness harvey damage first hand another lie is a habitual lier potusliesagain,Low,Medium
here is some of the devastation in rockport tx has crews assisting in the clean up to safely clear roads asap harvey,Low,Medium
i couldnt watch the whole video heartὁ4breaking officials said national guard eddison hermond was holding a door to a restaurant closed until he and others left to assist a woman whose cat had gone missing witnesses said they saw hermond go under water ὢ2ὢdὢ2 prayersὤfἷb,Low,High
stone by stone this is mexico earthquake fuerzaméxico like to help ὤfἷc paypal donativosrescatetoposorg toposmx,High,Low
pray for puerto rico ὤfἷc hurricane maria destroys hundreds of homes amp leaves entire island i darkness hot 97,Low,Medium
latest update on roads in texas harveysos,Low,Medium
please help support apoyo a ecuador add a twibbon now,High,Low
let us not not forget the girlchild affected by cycloneidai a pair of brand new underwear can go a long way let us do something to help our sisters twimbos periods panties education unashamed menstruationmatters zw fc,High,Low
hurricane maria causes major destruction in puerto rico tv only reporting about capitalbad reporting,Low,Medium
livepdnation please keep our hero national guard soldier eddison hermonds family in your prayers he died during the floods trying so save a woman in ellicott city maryland ὤfa8,Low,High
rt yikes damage seen after magnitude 78 earthquake in new zealand photo credit earthquake newzealand eqnz http,Low,Medium
hurricane harvey is third 500year flood in houston in 3 years the washington post time 2 build homes on stilts,Medium,Low
puerto rico nine days without electricity and shortages of fuel and water after hurricane maria see more,Medium,Low
what a night that was thankfully no damage to the house but very little sleep eqnz,Low,Medium
in lifethreatening situation first call 911 2nd local county emergency operation center unable to connect call uscg harvey,Low,Medium
rt imagine the worst storm ever and no cell phones no water no power no roads its just unfathomable horrible,Medium,Low
are they on twitter guys the police and soldiers should be touring these areas and helping our citizens,High,Low
dear russia mexico and usa please invade and help us anyway we do need the extra assistance in ymmfire,High,Low
incredible already seeing flooding near key largo even found a couple w dogs sticking around for hurricane irma,Medium,Low
thank you to our zimbabwe team amp for their response to the emergency amp humanitarian crisis cycloneidai has affected many children amp youth and creating spaces for them to heal is important pss mhpss,High,Low
we have begun convoying vehicles between golden meadow and leeville on la 1 due to the rising water harvey,Low,Medium
hurricane maria public advisory number 39a,Low,Medium
real madrid star ronaldo paid respect to mexicos earthquake dead kid via,Low,High
rt limited or no coverage of puertorico after hurricanemaria please help people be aware of our situat,Low,High
praying that all the crews can help bring power to all those in need and to needed relief for those in path of hurricaneirma,Low,High
communities affected by cycloneidai giving an account of what transpired lack of security livelihoods destroyed amp lack of clean water are some of the urgent issues that need to be addressed were together with survivors of cycloneidai,High,Medium
anxious dog tied outside a tent near destroyed town of pescara del tronto whines and shivers italyearthquake,Low,Medium
rt two members of goldendawn were arrested for looting buildings in the area damaged by the athensfires πυρκαγια mati ματι,Low,Medium
foster kids thrown out of shelter post irma taken to home of millionaire florida hurricaneirmaaftermath,High,Low
respect to all the journalists working nonstop to cover hurricaneharvey in dangerous conditions houstonflood louisiana houston khou,Low,Medium
hurricaneharvey is now a category 1 storm amp will weaken to a tropical storm later today event will transition to devastating flooding,Low,Medium
rush irmas fakenews dont evacuate flights overbook amp roads fill rush looking out learjet window suckers,High,Low
thankfully its a deep earthquake all ok in auckland we are usually left unharmed but i hope east coast is ok ὢc3f,Low,Medium
adopt dont buy they need our help as well lot of cats dogs horses birds many of them have been shipped to usa,High,Low
thousands in mexico volunteer to train as rescue workers after a major earthquake kills hundreds in mexico city,Low,High
rt kvue foxaustin rt nwshouston in the wake of harvey here is some insight into when flood waters will recede,Low,Medium
hurricane maria triggers mass floods in puerto rico knocks digitalmarketing news today via,Low,Medium
she was trying to help by poking holes in the ground so the water could escape,Low,High
the poor people of haiti like they need more destruction after the earthquake and then taken advantage of by crooked hillary,High,Low
rt weather conditions linked to tropical cyclone idai malawi,Low,Medium
light to sometimes moderate rain finally moving into the beltway areas and downtown dc between now and midnight heaviest storms are in northern maryland moving into pennsylvania,Medium,Low
share thread in case anyone in affected areas can make use of this important and useful information about safe drinking water harvey2017,High,Low
please rt our hurricane relief project we need helping hands hurricaneirma hurricaneharvey fema pps,High,Low
hurricane irma leaves trail of destruction across caribbean click below for full story,Low,Medium
rt this is the trail of destruction thats been left by hurricane maria,Low,Medium
government never ever told to upgrade tsunami warning system brownlee via eqnz,Low,Medium
puerto rico lost 80 780mm crop yields from hurricane maria a people without ag are a people without food,Low,High
those affected by cycloneidai are in dire need of basic relief supplies food ἵahealth services ἶ5 and shelter ἶ0 emergency response teams are in beira 2fto support and protect people badly affected by this disaster,High,Low
rt no tsunami expected on the west coast of north america,Low,Medium
hurricane irma destruction i covered the storm for 9 days in south florida image captured at a,Low,Medium
this is my road flooded with water blackcreek irma,Low,Medium
rt im just devastated by the earthquake in mexico and all the destruction that the hurricanes caused,Low,Medium
buffalo bayou the main river that goes through downtown houston is now expected to reach record flood stage due to harveys rainfall,Medium,Low
rt a 75 magnitude earthquake has rocked new zealand killing 2 amp triggering a tsunami warning tennews http,High,Medium
ty marco rubio for riding out irma with us amp checking first hand damage amp getting plans in motion for recovery god bless you te amamos,Medium,Low
everyone should download the free fema app while youre still able to for important updates and info like shelter locations,Medium,Low
hurricane harveys water is more than a flash flood,Low,Medium
greeces pm alexis tsipras called for three days of national mourning for wildfires victims which currently stood at at least 50 and hundreds more were injured,High,Low
fourlegged refugees among the casualties of hurricane harvey via,Low,High
rt warning a tsunami has been generated stay safe eqnz tsunamiwarning earthquakenewzealand,Low,Medium
hurricaneharvey will have a longterm health impact flooding may release dangerous toxins from superfund sites,Low,Medium
many of you are asking how you can help with hurricaneharvey thank you here is a list of shelters in need nd,Low,High
miami shelters homeless against their will as irma closes in,Low,High
and all the programs we need now has gotten rid of including dacahes destroyed hope and our blood is on his hands,Low,High
rt tornado by berry center i didnt take this,Low,Medium
rt as hurricane irma becomes the most powerful atlantic hurricane ever residents in florida are stocking up,Low,Medium
simply genius you can never have enough golf trophies when you really need them to help repair after a hurricane ὄdἷbὄfἰ9ἰe,Low,High
earthquake 52 mag 236 miles sse of blenheimnew zealand gap 6300 sig 41600 rms 105 depth 100miles alert green breaking newzealand,Medium,Low
alligators are in the flood water too,Low,Medium
all flood vehicles must be crushed too many electronics controlling vital functions causing safety iss for all on roads,Low,Medium
please help raise funds to be donated to the victims of the recent cyclone idai which affected zimbabwe malawi and mozambique ὂb,High,Low
as puerto rico must deal with hurricane maria please keep in mind buffalos large puerto rican population and help as you can,High,Low
here are all the areas in hurricane irmas path and when the storm could arrive,Medium,Low
irving offers sanctuary to hurricane harvey evacuees,Low,High
in the middle of a crisis with limited helicopters for distributing food water and medical supplies and evacuating critically injured victims of cycloneidai they seriously thought that this would be appropriate,Low,High
this is torture residents in east orange county describe living conditions post hurricaneirma,Low,Medium
this account is helping people to check structural damages after the earthquake in mexico people need his help,Medium,High
our fellow citizens in puerto rico who dont have voting rights fyi arent getting the help they desperately need,Low,High
rt please consider purchasing items from this list to aid those affected by the mexicoearthquake so many are in need,High,Low
good news from the bahamas despite 150mph winds no loss of life reported in southern islands structural damage still tbd irma,Low,Medium
please help recover puerto rico after hurricane maria,High,Low
i was going through this cycloneidai man ὢdὢdὢd may god be with all survivors and those who lost their loved onesme and my wife are going to give some of our clothes and shoes to help those that lost their belongingslets all help our peopleὢdὢdὢd,Low,High
early information coming in on human tragedy tropical cyclone idai has so far caused in mozambique as storm rages on 19 dead already since it struck yesterday,High,Medium
rt please help puertorico they need us every dollar helps please lt3 maria,Low,High
russialies a lot trumps didnt go to houston houston isnt completely destroyed there are no murderous looters,Low,Medium
rays have done more damage to their fans than irma,Low,Medium
rt president where is the help for ecuador the earthquake has devastated a lot of the country,Low,High
go long beach many still not back in their homes from hurricane sandy,High,Low
even though the worst of irma is north of pr flash flooding amp heavy rain a concern for the island,Low,Medium
i live just north of that upper finger of the tsunami threat area for wellington safely on a hill eqnz tsunami,Low,Medium
after the earthquake there are already 233 victims 102 are from mexico city,High,Low
omg these tornado warningflash flood alerts will dang near give you a heart attack theyre so sudden and loud,Medium,Low
remind us that fl residents can dial 211 for nonemergency assistance hurricaneirma,Medium,Low
rrn redditor offers to send user old hardware after users workstation is destroyed by hurricane harvey,Low,Medium
hurricaneharvey and its awful destruction have brought out the best in americans,Medium,Low
they have destroyed their own economy amp use a catastrophic disaster for cover truth the problem before hurricane maria was their own govt,Low,Medium
hurricaneharvey nations largest refinery shuts down as harvey floods texas gas your gulf coast weather authority,Medium,Low
from heres how to getand offerhelp after harvey please share this w all who may need it,Low,High
yep were safe and sound but tsunami warnings etc check eqnz,Low,Medium
more than 90 of the city of 500 000 people was destroyed said the red cross the united nations called it possibly the worstever weatherrelated disaster to hit the southern hemisphere reports on mozambique,Medium,Low
hurricanemaria is not done yet here on the eastcoast we are preparing to deal with her remnants as a tropicalstorm hurricane drfee,Medium,Low
a lifelong friend is suffering home flood 5ft blackcreek hes jea lineman im calling on everyone help this family of 6 irma,High,Low
my country is under water and yet we try to swim ashore near the shore we still have our heads shoved back into the water zimbabwe you will rise cycloneidai notoxenophobia humanitarian selfhateafricanswe are killing ourselvesὢdὢdὢd,Low,High
johannesburg please help we have a bus leaving on monday for malawi and need nonperishables blankets clothes food etc for our brothers and sisters in need drop off or we can collect lets show up for our own you can make a massive difference please rt cycloneidai,Low,High
heartwrenching pain for my people i can not erase the images of bodies found hugging eachother when they died in the fires or jumping off cliffs prayers are not enough in such devastation while hundreds still missing keepthepromise for greece,Low,High
rt massive wildfire could double in size canadian official says weather conditions through the weekend were no,Low,Medium
loading them up this great danedozens of others headed to nh palm beach county shelter making room for animals displaced by irma,High,Low
today provided fuel to orphanage in dondo mozambique destroyed by cycloneidai children with almost nothing left devastation all around this wasnt just a storm this cyclone has destroyed lives across the country,Low,Medium
beaumont bridge city port arthur and the surrounding areas east of houston are flooding and need boatshelp harvey hurricaneharvey,High,Medium
your general states they need more help every death from here on out is blood on your hands act like a leader donny,Low,High
pr residents have gone without water food power and gas since hurricane maria made landfall 10 days ago water food power amp gas,High,Low
we are really sitting here on a water sanitation and hygiene ticking bomb secretary general appeals for more immediate assistance for victims of cycloneidai in southern africa,High,Low
these are the safest places in your home during a tornado irmahurricane2017 hurricaneirma,Low,Medium
meeting set for sept 21 in cleveland regarding flood damage,Low,Medium
its unfortunate but true it took hurricaneharvey to bring us all togetherdeaths losses etc is what it took shame,High,Low
yup i felt the earthquake it was a weird feeling but no damage so we were lucky,Low,Medium
the island imports 85 percent of its food but the destruction of its agricultural sector is 400 millions,Medium,Low
hurricane harvey strengthens threatens record flooding in texas,Medium,Low
is saturation 3 gonna drop before irma kills me,Low,High
deadly sharks appear in hurricane flood waters,Low,Medium
can you help us with a rt mexicos earthquake,High,Low
please retweet hurricaneirma affected my extended famthis is personal 4 methis assistance gets directly 2 those in need,Low,High
the clutha district civil defence has been activated and staff are evacuating lowlying areas welfare centers are being set up eqnz,High,Low
rt we need to help our brothers and sisters in puerto rico now 45 not next year or next week but now,Low,High
rt wildfire festival needs your help,Low,High
we have killed our great coral reef and ice caps are literally melting bitch what u think a gay woman caused a hurricane im baffled,High,Low
the inner core of maria is exposed and the storm is weakening as it also moves over cooler water right now,Medium,Low
rt italyearthquake prayingforitaly day of national mourning for 290 victims oggi luttonazionale brazil,High,Low
rt watch tropical storm harvey triggers flash flooding in houston area,Low,Medium
amp the longer it takes the more destruction takes place it will get worse standing still means getting worse just like hurricaneharvey,Medium,Low
irma so catastrophic in its nature the best all could do was take shelter afterwards massive destruction and flooding water still rising,Low,Medium
after katrina gwb was trying 2 help nola albeit late amp badly after hurricanemaria is golfing i hate missing potus 43,Low,High
ellicott city flood beforeandafter images show heartbreaking devastation flooding ellicottcity maryland climate weather,Low,Medium
hurricane matthew hits haiti this morning with 145 mph winds thousands are seeking emergency shelters jmc3413,Medium,Low
want 2 keep away snakes from hurricaneharvey put out mothballs if you have any amp that will do the trick just be careful wdomestic pets,Low,Medium
i want books pens food and more tents for us to have a home my mother was only given 1 tent but its not enough for all of us because my family consists of 2 boys 2 girls and my mother farai 12yrs zimbabwe cycloneidai,High,Low
tanzania president has extended humatarian aid via tanzania air force which has been deployed to offer humanitarian support food and medicine to floodravaged malawi zimbabwe and mozambique in the aftermath of the torrential rains and tropical cyclone idai,Low,High
a bit too soon nursing homes still are under water n those inside r still at risk n dying its always the short game 4 him itll take yrs,Low,High
breaking monster maria hurricane hits puerto rico the path of destruction next,Low,Medium
many first responders amp local news reporters answered the call to work through the flood as they lost homes and property themselves,Low,Medium
lake harney in a moderate flood but as the water recedes it will be in major flood stage by the end of the week,Low,Medium
two things everyone affected by irma need to do 1st for your home 2nd,Medium,Low
celebs send their love to mexico as earthquake death toll rises oh and trump tweeted too 2dtodosuno,Low,High
rt chow time abbott and cornyn serve dinner to about 200 harvey evacuees in austin,Low,High
watch video of usswasp sailors evacuating maria victims from dominica as the military continues 247 hurricane relief efforts,High,Low
how to help those in need in south florida following hurricane irma,Low,High
pls rt hurricane maria devastated the island of puerto rico everyone on the island is in desperate need of assistance donations r needed,Low,High
rt i need u please pray for ecuador u dont know how horrible was we are really scaredtell me that everyt,High,Low
120 victims now and i just want to cry prayforitaly,High,Low
exclusive desperate plea for help from an omaha woman who survived hurricanemaria on vieques read her handwritten letter at 10,High,Low
what a radical idea not building in floodplains right after a flood killed a bunch of people there its not that hard,Medium,High
mozambique is calling us for help thanks to josh phillips for letting us share this video africa nonprofit cycloneidai malaria cholera aid aids health fund donate careforlife mozambique mozmbiqueflood2019 give donate emergency,High,Low
rt puerto rico is also expecting more rainfall and flooding as hurricane maria continues to hit the island,Medium,Low
send troops and money and fema etc to puerto rico now puerto ricans are american citizens and need help now,Low,High
our hearts are broken for everyone in ecuador for the lives lost and the families who lost their homes,Low,High
were three sharks filmed in miami flood waters after hurricane irma,Low,Medium
according to health ministry reports eleven burn victims from attica fires still in icus go athensfires c7,High,Low
pr corrupt govt destroyed pr before any hurricanes even came close,Low,Medium
looks like matthew is rebuilding inner core after some terrain interaction in haiti and cuba warm waters await,Medium,Low
pack your toothbrushes the nerve of obama to flood our schools hospitals prisons and jobs w dead weight a black hole for citizens tax,Medium,High
and no help or acknowledgement of the devastation in puertorico because of hurricanemaria 25thamendmentnow,Low,High
alert water splashing onto us1 currently near key largo not much longer to get out hurricaneirma,Low,Medium
miamidade races to open shelters ahead of hurricane irma plans more than 40 for 100000 people,High,Low
canadian citizens in areas affected by hurricaneirma can request emergency assistance from details at,Low,Medium
devastated cotton farms gins crops in texas harvey,Medium,Low
the area has been under tornado watches all day as whats left of harvey heads northeast,Low,Medium
hurricane irma forced anna maria island residents to evacuate now its time to assess the damage,High,Medium
some waters are receeding in texas areas along bayous and rivers will remain flooded for many days however flatlikefargo,Low,Medium
we must never forget this soldier who heroically gave his life while attempting to save lives in the ellicott city flash flooding rip hero maryland flashflood nationalguard,High,Low
harvey flooding event in harris county general updates here,Low,Medium
raytheon help the victims of hurricane harvey join us in aiding those who have been impacted by this historic sto,High,Low
is your street impassable help everybody out by adding it to the map houstonfloods,High,Low
devastating damage in rockport texas this morning after hurricaneharvey passed harvey continues today source,Low,Medium
officials check on brevards nursing homes other facilities after hurricane irma,Low,Medium
puerto rico is seriously affected by hurricane maria we are in need of water non perishable food diapers first aid kits,High,Low
mexico earthquake race to find survivors under collapsed school,Low,Medium
thats some serious serious flooding houstonfloods harvey,Medium,Low
please help the people of puerto rico show them the rest of america cares,High,Low
holding press conference today on how theyre preparing ellicottcity to deal with possible new flooding given new threats of heavy rain ecflood,Medium,Low
if you are a marine veteran or family member in the path of hurricane irma and need assistance please contact us at 18774876299,Medium,High
rt flooding has gotten so bad in houston that officials are telling people to get on their roofs to escape the water,Medium,Low
we need to raise awareness and aid to puertorico a humanitarian crisis is developing we need help hurricanemaria,Low,High
dropped off a lot of water diapers towels blankets and toothbrushes today houstonstrong harvey harveyaftermath houston,High,Low
the wreckage left in irmas path across the caribbean and southeastern us 35 photos of the damage amp survivors,Low,Medium
53118 how surveyors track high water marks throughout maryland after flooding and what that data is used for,Low,Medium
see stunning before and after photos of hurricane irmas impact on the caribbean,Low,Medium
heads up miamidade next few hours will be dicey with very strong winds coming up from the keys take shelter irma,Medium,Low
rt eqnz update on info on road closures tsunami warning power outages welfare centres and supermarkets,Low,Medium
if thats how god punished people youd be dead you ugly motherfuckin snakeskin bitch,Low,High
can you do this for pr too we need real aid after hurrcaneirma amp hurricanemaria ὁ4,High,Low
refugees who found shelter in greece give their blood for the people injured in the wildfires solidarity,Low,High
rt after irma and last nights rain getting rid of standing water outside your home is even more important,Low,Medium
epic historic amp record setting crowds came to congratulate me at my hurricaneharvey rally what a crowd what a turnout helpforhouston,High,Low
due to hurricane irma all ocps schools will be closed on friday sept 8 and monday sept 11 be safe blue darters,Medium,Low
wow all the pets need help sending prayers,High,Low
now that hurricane harvey is winding down in the houston area we need to help the education system survive and rebuild authors stand ready,High,Low
has services available for those affected by flooding see below and visit for more information,Low,Medium
the red cross is giving millions of dollars directly to canadian wildfire evacuees aid via,Low,High
hurricane irma produced heavy rainfall across the state which has led to widespread river flooding heres a look at some of the totals,Medium,Low
want to assist pets displaced by hurricane harvey read this to find out how you can help,Low,High
can we please get some government help for virgin islands these are us citizens,Low,High
woke up to a 71 magnitude earthquake off new zealands east cape has caused tsunami activity ὣ3ὣ3 tsunamiwarning,Low,Medium
please help us get an industrial sized humidifier houston helpforhouston harvey hopeforhouston,High,Low
for the second time in two years flash floods rip through ellicott city maryland,Medium,Low
rt puerto rico devastated by hurricane maria entire island blacked outhomes lack running water as streets are flooded,Medium,Low
hurricane harveys homeless pets being sent across us for new homes,High,Low
thinking about the pets displaced by hurricaneharvey get involved by donating to organizations like or,High,Low
rt italyearthquake emergency number activated for people calling from outside italy call if in need,Low,High
such a gorgeous sunset this evening makes it hard to believe irma and the destruction she,Low,Medium
government negligence exacerbates hurricane harvey damage in houston texas houstonflood texasstrong,Low,Medium
bbc news new zealand earthquake tsunami follows powerful tremor,Low,Medium
rt here is the 11 am advisory for hurricane maria and tropical storm jose,Low,Medium
railroads serving houston suspended service as rain amp flooding from hurricane harvey continues to rake the region,Medium,Low
wreckshoprelief connects the houston hiphop community with residents that have been affetced by hurricaneharvey that need help,Low,High
i have the biggest crowds of the damned some drowned in flood waters some burnt in forest fires some were killed by nazis maga,Low,High
the national weather service warns its only the start of major flooding in texas hurricaneharvey via,Medium,Low
food and water en route to puertorico and stcroix by,High,Low
all sos requests need names address phone how many people condition houston sos harvey requests please provide or request,High,Low
power water food amp restoration continue to be priority please consider helping in whatever way you can we wont forget you fam,High,Low
well if you enjoy no power heavy rain floods and trees falling on your housethen its fun,Low,Medium
rt hurricane matthew slams into haiti with heavy rains and deadly waves,Low,Medium
home depot and lowes began shipping emergency supplies to florida in anticipation of irma,Low,Medium
east attica fire info emergency phone numbers greece news,Low,Medium
how did pioneer women in florida cope wo out air conditioning running water etc wearing long heavy skirts how is it possible irma,Low,Medium
mozambique the fco now advise against all but essential travel to the provinces of sofala zambezia manica and tete which have been affected by tropical cyclone idai,Medium,Low
car amp overpass earthquake in ecuador upgraded to 78 magnituden 2016 manabí ecuador breaking earthquake,Medium,Low
renzi promises to rebuild devastated towns of umbria and lazio via italyearthquake amatrice terremoto,Medium,Low
rt kaikoura drinking water vessels can be filled at austin st cromer st bayview st hastings st or mt fyffe ave nzearthquak,Medium,Low
what denying foreign cargo to pr is cruel tell the 35m islanders wo water that theres sufficient capacity with usflagged ships,Low,High
make it dinner amp diapers with us thru 915 raising harvey funds amp diapers for please help,High,Low
moderate earthquake tarapaca chile on september 13 2017,Medium,Low
rt trump where the hell is all the medicine and fuel for those stranded in remote areas its been a week,High,Low
exposure to mold during flood cleanup can cause respiratory illness eye irritation amp skin rash stay safe,Medium,Low
foodie tip chilling timelapse video of houston flooding hurricane harvey was the first major storm of the 2,Low,Medium
but god said he would never flood the earth again so if global warming really kicks and god is dead,Low,High
rt remember folks the 2011 japan tsunami started out at 3 meters so 2 meters could still escalate higher eqnz,Medium,Low
severe storm threat rest of the night see all the action on radar wx harvey flooding,Low,Medium
water is now rising at our home 4248 vassar st port arthur tx we have a 4month old baby harveyrescue harvey,High,Low
i have sadly learnt greecefires φωτιά in αθηνα causing 60 plus death condolence to victims families and i wish casualties a quick recovery turkish government has to offer firefighter planes or any necessary aid,Low,High
seems dhs wants to use barges instead of tankers to transport vitally needed supplies to puerto ricotime is of the essence,High,Low
mozambique braces for more floods as cyclone deaths set to climb,Low,High
as if a 60 mile wide tornado went all the way across puerto rico plus catastrophic flooding,Low,Medium
with power gone a rallying cry is heard across the land baaaacon hurricaneirma food porn pics,Low,Medium
united nations humanitarian chief mark lowcock yesterday allocated us20 million from the uns central emergency response fund cerf to ramp up the humanitarian response to tropical cycloneidai in mozambique zimbabwe and malawi via,Medium,Low
my family lost our home in the alberta fort mcmurray wildfire please come help me with designing our new home,Medium,High
cleaning up flood water after a hurricane is probably one of my least pleasurable experiences it smells so bad,Low,Medium
as you may know about 93000 people are affected lost homes family etc by the cyclone in mozambique if you wish to help below are some of the official redcross channels you can use luckily my family is not affected thanks,High,Low
anticipating public health issues for disaster response your civicdata at work amp also why opendata is so so so so important,Medium,Low
my heart is aching for haiti right now and the damage theyve gotten from the hurricane pray for them amp count your blessings,Medium,Low
sothe fires in alberta are under control nowgreat to hear,Medium,Low
sanjuanmayor why are you lying about people dying usnavy workers food amp medical are there in puertorico hurricanemaria,Low,High
downtown fortmyers never saw the eyecontinuous eye wall for over an hour with the worst conditions possible spann irma frommyhome,Low,Medium
key west resident bobby ourada fights back tears while waiting for supplies after losing everything in hurricane irma,High,Low
the risk of an emergency exacerbating within the idai disaster looms large we need very urgently the resources not to fail the people who have already faced untold suffering,Medium,High
options for mortgage holders suffering from flood damage,Low,Medium
aid reaches puerto rico after maria as threat from cracked dam recedes,Low,Medium
situation report for 2 june 2017 00pm due to bad weather floodsl flood2017 slflood srioanka,Medium,Low
electricity in keywest is out irma is still 90 miles away irmahurricane naples tampa irma2017 power stormsurge flooding,Low,Medium
cycloneidai has left a destructive trail in zimbabwe lives have been lost and some have been marooned however zimbabweans have come together to help with the rescue efforts the power of humanity still lives ubuntu as we call it in africa is alive even in times of hardship,Low,High
we need your help ecuador terremotoecuador allyouneedisecuador allecuadorneedsisyourhelp,Low,High
thank you okeechobee police for partnering with the salvationarmy to help serve people in need hurricaneirma,Low,High
ellicott city md wjz last sunday heavy down pours caused major flooding in both howard and baltimore counties main street in ellicott city was slammed by the deluge that led to the death of a maryland national via,High,Medium
as flood water from cycloneidai begin to recede in mozambique amp more areas become accessible additional humanitarian needs are being identified s response team is scaling up its response working w amp to provide lifesaving assistance,High,Low
hurricanemaria hammers puertorico knocks out power unleashes heavy flooding prayforpuertorico pls rt,Low,Medium
rt retweet amber alert πυρκαγια ματι greecefires athens wildfires φωτια πυρκαγιες attica,Medium,Low
play your part amp help those in need donate to the cycloneidai relief efforts no amount is too small drop off any donations of clothing blankets canned goods etc to your nearest econet shop or donate via ecocash biller code 15121320041amount1 zimbabwe,High,Low
the destruction as a result of the fort mcmurray wildfire is terrifying we are working with first responders and lo,Low,Medium
hurricane irma latest destruction at tybee island not as bad as feared,Low,Medium
rt watch psychological impact on fort mcmurray wildfire evacuees a focus of emergency services ymmfire,High,Medium
a different falconresponse embarking on a relief mission to houston delivering food medical supplies and moving evacuees from harvey,Low,High
pls share clean water fund hurricaneharvey,High,Low
mozambique at buzi bridge river at espungabera area on saturday 163 river flooded after heavy rain in zimbabwemozambique sides due to cycloneidai on way to beira water has taken away lives displaced thousands and wrecked havoc,High,Medium
rt puerto rico has not seen a hurricane of irmas magnitude since hurricane san felipe in 1928 which killed 2748,Low,High
flood waters leaving houston after the harveyflood harvey,Low,Medium
president trump will visit texas on tuesday to survey harvey damage hmm almost diplomatic by trump encouraging words,Low,Medium
almost 100 running water but under boil notice some power restored not in my neighborhood yet gas lines are long hurricaneharvey,Low,Medium
crazy rainfall rates with storms near houston more than 5 per hour possible as flash flooding continues from harvey txwx,Low,Medium
rt the earthquake in italy is devastating many people lost everything if you can help please do prayforitaly,High,Low
rt a failing dam is causing extremely dangerous flooding on a puertorico river in the wake of hurr,Low,Medium
flooding in india bangladesh nepal massive rainfall hurricane harvey in usa icecaps melting almost as though the climate is changing,Medium,Low
st thomas resident on irma aftermath we really need the help its just not safe,High,Low
some pictures that are showing up on the internet of destruction done by hurricane maria i believe these are,Low,Medium
goatys news uk sanlorenzo puertorico hurricanemaria mariapr prwx pr news bridge on barriosanlorenzo has collapsed,Low,Medium
icymi helps st augustine wildlife sanctuary during irma w damaged cages amp moving a tiger amp panther to safety firstcoaststrong,Low,Medium
im most impressed by how texans are helping each other neighbors helping neighbors makes fema arc etc efforts more successful harvey,High,Low
did i miss something i think we need all the help we can get,Low,High
with one maternal death amp 4 birth complications already reported in nsanje due to the floods has quickly responded to order reproductive health kits for safe delivery amp prevent more maternal deaths amp complications among pregnant women malawifloods cycloneidai,Low,High
when hurricane harvey hit rockport as a cat 4 this is what it did to homes everywhere in this 10k person community,Low,Medium
